Nama,Market Cap,Rasio P/E,Pendapatan,Vol.Rata-Rata (3bln),EPS,Beta,Dividen,Imbal Hasil,Rekomendasi
Globe Kita Terang Tbk PT,120.00B,-1.73,75.67B,44196,-62.45,0.358,-,-%,
Golden Eagle Energy,4.05T,12.06,1.07T,7191506,106.52,0.383,122,9.8%,
Golden Energy Mines,35.44T,3.34,3.03B,605489,0.115,-0.096,1.112.06,18.46%,
Golden Flower,618.75B,-22.55,91.36B,519864,-29.26,-0.307,-,-%,
Golden Plantation,183.25B,-,-,769385,-82.41,-,-,-%,
Goodyear Indonesia,557.60B,-28.89,169.82M,4872,-0.003,0.313,-,-%,
GoTo Gojek Tokopedia PT,87.16T,-2.67,14.83T,2458976101,-34.39,1.34,-,-%,
Gowa Makassar,1.51T,37.18,391.61B,100,399.36,-0.085,3,0.02%,
Gozco Plantations,582.00B,10.90,667.53B,20793860,8.90,0.141,-,-%,
Graha Andrasentra,1.13T,-1.50,160.03B,38925,-33.29,0.00,-,-%,
Graha Layar Prima,1.92T,-42.02,1.10T,4068,-52.35,-0.44,-,-%,
Graha Mitra Asia Tbk PT,274.93B,104.25,29.52B,42269179,1.08,-,-,-%,
Graha Prima Mentari PT Tbk,94.25B,36.32,344.32B,10353584,8.45,-,-,-%,
Grahaprima Suksesmandiri Tbk PT,420.55B,17.81,267.29B,19470267,12.24,-,-,-%,
Grand House,858.38B,96.47,71.41B,8665029,4.94,0.406,-,-%,
Grand Kartech,423.44B,-,-,79026,-94.58,0.488,-,-%,
Greenwood Sejahtera,1.28T,61.89,62.49B,1524833,2.65,0.755,-,-%,
GTS Internasional Tbk PT,822.6B,8.16,33.59M,272051655,0.00,0.10,-,-%,
Gudang Garam,48.82T,9.55,118.86T,1566467,2.656.75,0.487,1.200,4.8%,
Guna Timur Raya,34.80B,-8.54,40.84B,2125657,-9.37,0.22,-,-%,
Gunawan Dianjaya Steel,1.34T,4.84,2.56T,9166998,32.67,0.524,-,-%,
Gunung Raja,6.01T,5.81,858.36M,1303510,0.004,0.583,"7,433",1.81%,
Habco Trans Maritima Tbk PT,2.62T,12.95,446.74B,108540351,24.09,0.395,4.07,1.09%,
Haloni Jane PT Tbk,401.15B,2.92,285.95B,40217449,15.27,-,-,-%,
Hanjaya Mandala Sampoerna Tbk PT,100.03T,14.24,50.24T,20406736,60.40,0.327,54.7,6.44%,
Hanson,4.34T,-,-,650212031,-0.99,-0.148,-,-%,
Hanson Prf,4.34T,4.14,-,532818,-,-0.148,-,-%,
Harapan Duta Pertiwi PT,106.46B,-770.40,83.95B,10449,-0.065,-1.06,-,-%,
Harta Aman Pratama,558.60B,-35.63,262.49B,29550713,-3.20,-0.281,-,-%,
Hartadinata Abadi,1.94T,6.35,9.88T,32737562,66.41,-0.285,12,2.86%,
Harum Energy,22.30T,4.64,1.02B,22063157,0.023,-,90.12,5.4%,
Hasnur Internasional Shipping Tbk PT,730.1B,5.14,920.44B,5996129,60.29,0.156,13.25,4.77%,
Hassana Boga Sejahtera PT Tbk,56.1B,29.11,48.76B,18440992,0.893,-,1,4.55%,
Hensel Davest,76.23B,-3.39,3.34T,104315,-14.74,0.266,-,-%,
Hero Supermarket,4.81T,15.78,4.81T,70671,72.86,0.228,-,-%,
Hetzer Medical Indonesia Tbk PT,89.06B,-11.60,28.47B,51007452,-4.83,-0.548,-,-%,
Hexindo Adiperkasa,4.70T,5.25,660.22M,924751,0.068,0.497,799.07,12.06%,
Himalaya Energi Perkasa Tbk PT,8.48B,-30.30,4.00B,2047966,-0.132,-0.332,-,-%,
HK Metals Utama,161.09B,-0.79,227.64B,500,-63.51,0.915,-,-%,
Hoffmen Cleanindo PT Tbk,267.8B,196.66,184.15B,13214286,0.722,-,-,-%,
Hotel Fitra International,446.57B,-74.77,11.54B,562022,-8.49,1.65,-,-%,
Hotel Mandarine Regency,1.11T,-,-,793944,-1.57,-0.159,-,-%,
Hotel Sahid Jaya,1.93T,-86.74,105.96B,53826,-19.83,0.55,-,-%,
Humpuss,2.52T,11.53,113.51M,2401689,0.002,0.317,-,-%,
Humpuss Maritim Internasional Tbk,3.16T,-,93.48M,280325403,0.018,-,-,-%,
Ictsi Jasa Prima,33.47B,1.21,8.25M,137627,0.003,-,-,-%,
IDeA Indonesia Akademi Tbk PT,74.37B,-,19.97B,24447640,0.975,-,1,1.43%,
Ifishdeco,2.18T,11.20,1.10T,6604,87.14,0.609,28.12,2.74%,
Imago Mulia Persada Tbk PT,71.93B,15.43,76.69B,47602,3.50,0.218,-,-%,
Impack Pratama Industri,18.99T,50.29,2.85T,34832455,6.96,0.087,33,0.86%,
Indah Kiat Pulp & Paper,58.27T,5.06,3.99B,9011949,0.134,1.26,50,0.47%,
Indah Prakasa Sentosa,129.35B,-1.84,281.89B,3531154,-108.37,1.07,-,-%,
Indal Aluminium,122.92B,-0.82,1.29T,50203,-235.50,0.295,-,-%,
Indika Energy,10.61T,1.97,4.07B,11025863,0.066,0.987,"3,224,638",15.73%,
Indo Acidatama,319.06B,5.88,1.04T,6976244,9.01,-,1,1.85%,
Indo Boga Sukses Tbk PT,2.97T,177.63,84.60B,905879,1.31,-0.544,-,-%,
Indo Komoditi Korpora,84.18B,43.48,272.78B,141362,1.15,0.734,-,-%,
Indo Kordsa,2.89T,7.18,292.86M,3510,0.057,1.03,500,7.72%,
Indo Oil Perkasa PT,66.74B,15.54,117.36B,2819097,29.82,-,"30,961",2.11%,
Indo Pureco Pratama Tbk PT,230B,62.62,35.29B,52960,0.80,0.094,-,-%,
Indo Straits,211.26B,8.16,14.96M,1253108,0.003,0.601,-,-%,
Indo Tambangraya,31.30T,1.91,3.51B,1920468,0.926,0.518,13.204,48.63%,
Indocement Tunggal,34.40T,15.31,17.39T,3083752,654.85,0.58,160,1.58%,
Indofarma,1.49T,-3.26,934.02B,112468,-147.81,-0.272,-,-%,
Indofood,59.93T,6.64,114.13T,8371775,1.027.81,0.116,257,3.78%,
Indofood Cbp,125.95T,15.03,66.68T,5636943,718.77,-0.04,188,1.73%,
Indointernet Tbk PT,7.33T,29.59,898.91B,2025,588.07,0.18,-,-%,
Indomobil Multi Jasa,2.84T,18.43,4.45T,5403057,17.80,1.68,0.5,0.15%,
Indomobil Sukses,6.45T,10.76,28.03T,6014068,150.14,1.51,10,0.62%,
Indonesia Fibreboard,1.48T,20.14,869.07B,194721,8.54,0.297,2,1.27%,
Indonesia Pondasi Raya Tbk PT,282.42B,-10.67,1.05T,191432,-13.22,0.598,1,0.73%,
Indonesia Prima,1.59T,-8.17,41.69B,18618,-66.12,2.26,-,-%,
Indonesian Paradise,5.48T,53.91,1.19T,167234,9.09,0.329,-,-%,
Indonesian Tobacco,252.11B,10.35,264.77B,1261490,27.64,-1.38,5,1.87%,
Indopoly Swakarsa,869.86B,166.67,202.33M,217538,0.00,0.743,5.5,3.74%,
Indorama Synthetics,2.26T,-5.01,819.60M,67156,-0.044,0.642,240,7.02%,
Indoritel Makmur,63.69T,56.14,1.34T,22917,79.98,-0.055,-,-%,
Indosat,84.66T,25.11,48.90T,3806956,418.16,1.35,255.7,2.44%,
Indospring,1.77T,6.67,3.93T,117724,404.88,-,100,3.65%,
Indosterling,62.82B,-,15.01B,58000,1.02,-,-,-%,
Industri Dan Perdagangan,1.67T,10.19,5.78T,79901376,10.89,0.369,-,-%,
Informasi Teknologi Indonesia Tbk,303.41B,9.83,484.12B,119180863,6.44,-,-,-%,
Inocycle,300.16B,-10.99,645.05B,816090,-12.65,0.523,3,2.04%,
Intan Baruprana Finance,40.97B,-0.62,-26.99B,10438,-43.46,0.037,-,-%,
Intanwijaya,110.06B,10.08,382.40B,72033,52.57,0.623,-,-%,
Integra Indocabinet,2.53T,-30.96,2.67T,6786443,-13.05,-,6.5,1.47%,
Inter-Delta,87.00B,50.17,46.64B,138676,2.93,-0.266,-,-%,
Intermedia Capital,1.96T,-3.33K,996.44B,10850,-0.015,-0.047,-,-%,
Inti Bangun Sejahtera,7.16T,312.50,1.09T,360,16.96,0.105,618,11.66%,
Inti Kapuas Arowana,1.68T,-36.76,9.58B,333468936,-1.36,-,-,-%,
Intikeramik Alamasri,665.29B,-22.83,236.72B,3264,-2.19,-0.10,-,-%,
Intiland Development,2.02T,19.50,4.69T,29079025,10.00,0.033,-,-%,
Intraco Penta,167.20B,-1.84,743.65B,52548,-27.21,-,-,-%,
Island Concepts,57.76B,-3.20,191.20B,3107524,-16.54,0.397,-,-%,
Isra Presisi Indonesia PT Tbk,56.28B,48.78,69.97B,38918992,0.413,-,-,-%,
Itama Ranoraya,774.95B,31.27,536.37B,4044513,15.88,0.724,18.75,3.21%,
J Resources,2.28T,-5.48,103.76M,5594305,-0.001,0.966,-,-%,
Jakarta Int Hotels & Dev,922.30B,30.39,1.38T,65982,13.03,0.039,-,-%,
Jakarta Kyoei,9.00B,4.28,-,1928900,14.02,0.067,-,-%,
Jakarta Setiabudi,1.99T,17.68,1.78T,11068,48.65,-0.018,-,-%,
Jamu dan Farmasi Sido,17.70T,15.98,3.91T,39922433,36.91,0.004,36.5,6.19%,
Japfa Comfeed Indonesia,15.28T,39.17,48.64T,12955441,33.57,-,50,3.77%,
Jasa Armada Indonesia,1.49T,8.76,1.12T,1246316,32.19,0.612,21.42,7.6%,
Jasa Marga,32.59T,10.31,17.97T,8945757,435.50,0.829,"756,939",1.72%,
Jasnita Telekom,43.12B,-6.80,74.36B,4162137,-8.39,0.341,-,-%,
Jasuindo Tiga Perkasa,2.00T,6.73,1.97T,22854654,43.39,0.304,7.5,2.57%,
Jaya Agra Wattie,558.65B,-1.46,881.68B,8368466,-101.58,-,-,-%,
Jaya Konstruksi,2.01T,10.53,4.69T,45624851,11.68,-,3,2.56%,
Jaya Real Property,8.83T,9.86,2.34T,1517559,69.00,0.13,21,3.11%,
Jaya Sukses Makmur,10.67T,243.75,324.69B,65131,4.00,-0.484,-,-%,
Jaya Swarasa Agung PT,158.14B,21.54,316.71B,16959698,6.69,-0.289,-,-%,
Jaya Trishindo,68.29B,-0.71,43.80B,2023648,-115.99,-0.189,-,-%,
Jayamas Medica Industri PT,5.41T,21.31,1.74T,23151362,10.05,-,3.17,1.59%,
Jembo Cable Company,476.28B,15.66,2.78T,377,201.17,-0.049,100,3.17%,
Jhonlin Agro Raya PT Tbk,1.51T,-14.39,4.17T,7744610,-10.91,0.03,-,-%,
Jobubu Jarum Minahasa PT Tbk,1.13T,70.33,52.53B,1080798,4.52,-,1.23,0.44%,
Kabelindo Murni,322.56B,9.09,1.37T,399722,31.69,0.349,8,2.82%,
Kalbe Farma,81.18T,24.90,30.24T,36042201,70.47,0.233,38,2.17%,
Kapuas Prima Coal,1.26T,-9.90,577.63B,137326,-5.05,0.689,-,-%,
Karya Bersama,357.5B,154.38,78.01B,26500,0.324,-0.322,0.11,0.22%,
Kawasan Jababeka,3.14T,15.94,3.33T,76807460,9.60,0.529,-,-%,
Kedaung Indah Can,38.09B,-10.53,70.91B,95129,-13.10,-0.246,-,-%,
Kedawung Setia,607.50B,8.15,2.28T,49873,183.96,0.259,75,5%,
Kedoya Adyaraya Tbk PT,1.19T,20.04,372.25B,33487,64.11,0.158,96,7.5%,
Kencana Energi,3.1T,13.41,46.02M,16732440,0.004,0.432,6.5,0.77%,
Keramika Indonesia,209.01B,-13.08,607.66B,2219960,-1.07,-,-,-%,
Kertas Basuki Rachmat,434.40B,-,-,1294823,-3.94,0.00,-,-%,
Ketrosden Triasmitra PT,505.74B,6.43,388.50B,518611,28.75,-,-,-%,
Kimia Farma Persero,4.39T,329.17,10.13T,556643,2.40,-0.049,"163,273",1.53%,
King Tire Indonesia Tbk PT,431.27B,17.99,528.81B,7808654,6.89,-,-,-%,
Kino Indonesia Tbk PT,2.01T,-2.07,3.52T,96046,-705.50,0.392,22,1.49%,
Kioson Komersial,69.93B,-471.01,410.18B,6544157,-0.138,0.236,-,-%,
Kirana Megatara,2.37T,-58.78,9.33T,46053,-4.90,0.614,4.96,1.8%,
Klinko Karya Imaji PT Tbk,47.07B,-22.99,9.52B,11737964,-1.91,0.531,-,-%,
Kmi Wire And Cable,1.26T,15.54,2.40T,1517125,20.20,0.038,4,1.24%,
Kobexindo Tractors,486.32B,11.24,2.41T,2580884,18.51,0.803,10,4.67%,
Kokoh Exa Nusantara Tbk PT,300.25B,-,-,261657304,-,-,-,-%,
Kokoh Inti Arebama,83.37B,-0.72,3.04T,88673,-118.61,0.333,-,-%,
Kota Satu,122.38B,-13.71,32.16B,6010660,-6.49,0.071,-,-%,
Krakatau Steel Persero,3.56T,-2.35,1.88B,8829995,-0.005,1.47,-,-%,
Kresna Graha Investama,910.27B,-8.21,12.56T,27422,-6.09,0.668,-,-%,
Krida Jaringan Nusantara,52B,154.55,7.61B,7708568,0.657,-2.14,-,-%,
Kurniamitra Duta,363.2B,8.58,309.66B,142656,55.82,-0.30,36,7.83%,
Kusuma Kemindo Sentosa PT,76.5B,10.58,232.34B,4386624,4.82,-0.094,1,1.96%,
Ladangbaja Murni PT Tbk,50.57B,-9.25,15.05B,806456,-5.94,-0.192,-,-%,
Lancartama Sejati,38.4B,-4.82,11.71B,1681655,-7.47,0.552,-,-%,
Langgeng Makmur,141.19B,-5.34,555.01B,229217,-26.21,-0.054,-,-%,
Lautan Luas,1.60T,8.36,7.32T,269465,123.21,0.00,75,7.28%,
Lavender Bina Cendikia PT Tbk,28.84B,82.87,11.00B,2433516,0.35,-,-,-%,
LCK Global Kedaton,308.00B,-662.37,28.58B,8245,-0.465,-0.136,0.22,0.08%,
Lenox Pasifik Investama Tbk PT,165.65B,-0.90,16.71B,342870,-71.08,0.276,-,-%,
Leyand International,198.32B,0.82,-,1677,61.34,-,-,-%,
Lima Dua Lima Tiga PT,169.75B,30.91,86.63B,1222911,4.01,0.523,4.7,2.96%,
Limas Indonesia Makmur,39.39B,19.76,-,26600,2.53,0.948,-,-%,
Link Net,4.68T,-161.14,4.23T,19122,-10.55,0.544,45.41,2.7%,
Lion Metal Works,325.10B,-32.65,397.29B,60041,-19.14,0.363,4,0.64%,
Lionmesh Prima,42.24B,-7.75,134.68B,4984,-56.78,-0.942,-,-%,
Lippo Cikarang,2.30T,14.40,1.06T,265598,59.72,1.76,-,-%,
Lippo General Insurance,1.55T,236.09,2.90T,1222,21.92,-0.254,54,1.04%,
Lippo Karawaci,6.52T,-19.41,15.93T,21923284,-4.74,1.03,-,-%,
Logindo Samudramakmur,363.04B,-5.74,31.87M,24232898,-0.001,-0.29,-,-%,
Lotte Chemical Titan PT,1.19T,26.40,424.36M,3942043,0.00,1.46,-,-%,
Lovina Beach Brewery Tbk PT,-,-,-,0,-,-,-,-%,
Lupromax Pelumas Indonesia Tbk PT,185.9B,30.34,37.69B,29148056,7.38,-,-,-%,
M Cash Integrasi PT,6.08T,594.23,12.64T,97035,11.78,1.09,-,-%,
Madusari Murni Indah,1.14T,103.45,1.56T,5229781,4.06,0.073,-,-%,
Magna Finance,170.52B,-28.09,35.59B,3973,-1.78,0.003,-,-%,
Maha Properti Indonesia Tbk PT,28.73T,-770.67,3.76B,132565,-3.75,1.26,-,-%,
Mahaka Media,307.00B,-13.00,174.82B,17679389,-6.00,0.049,-,-%,
Mahaka Radio,456.98B,-11.80,78.22B,80441971,-7.37,-,-,-%,
Maharaksa Biru Energi Tbk PT,1.19T,110.00,60.78B,77846682,1.70,-0.222,-,-%,
Mahkota,2.13T,-11.75,5.97T,5688746,-51.50,0.116,7,0.99%,
Makmur Berkah,464.82B,8.32,161.56B,14198071,15.01,-0.474,0.5,0.42%,
Malacca Trust Wuwungan,260.28B,38.86,164.48B,4466467,2.29,0.327,-,-%,
Malindo Feedmill,1.06T,-27.96,11.24T,2277819,-16.88,-,-,-%,
Maming Enam Sembilan Mineral Tbk PT,120.96B,-187.29,442.47B,113403,-0.897,2.50,-,-%,
Mandala Multifinance,7.55T,12.91,1.60T,1496271,220.83,0.252,100,3.5%,
Mandiri Herindo Adiperkasa Tbk PT,3.43T,5.90,-,221999984,-,-,-,-%,
Mandom Indonesia,1.17T,89.56,2.10T,15954,32.38,-0.01,90,1.51%,
MAP Aktif Adiperkasa,23.94T,17.54,11.48T,37853365,47.89,0.941,40,0.48%,
Map Boga Adiperkasa,4.82T,34.21,3.88T,21602,59.05,0.221,-,-%,
Marga Abhinaya Abadi,768.26B,-,-,2576954,-17.02,-0.046,-,-%,
Mark Dynamics Indonesia,2.34T,22.80,458.16B,25583735,26.97,0.876,35,5.65%,
Martina Berto,97.37B,-3.46,439.23B,149668,-26.28,0.583,-,-%,
Mas Murni Indonesia,615.26B,-17.67,30.24B,3300,-2.83,-0.112,-,-%,
Maskapai Reasuransi,999.34B,456.26,1.79T,14886,4.23,-0.274,15,0.78%,
Matahari,5.47T,4.85,6.54T,2963781,498.47,1.01,525,22.06%,
Matahari Putra Prima,985.46B,-1.55,7.00T,66834238,-49.12,1.86,-,-%,
Maxindo Karya Anugerah,203.51B,207.92,97.37B,74253485,0.269,-,-,-%,
Maxindo Karya Anugerah,203.51B,18.12,-,21610294,-,-,-,-%,
Mayora Indah,59.70T,23.81,31.11T,7590754,112.16,-0.015,35,1.33%,
MD Pictures,26.63T,271.84,367.82B,14217648,10.30,-0.643,-,-%,
Medco Energi,36.72T,6.67,2.28B,152636731,0.014,1.42,"595,124",4.06%,
Media Nusantara Citra,6.51T,4.07,8.24T,31548140,120.95,0.795,5,1.01%,
Medikaloka Hermina,19.06T,56.56,5.23T,8965855,23.25,0.439,7,0.53%,
Mega Manunggal Property,2.66T,25.89,375.84B,1765838,14.91,0.314,-,-%,
Mega Perintis,983.29B,15.24,715.78B,142835,74.16,-0.742,20.94,1.87%,
Megalestari Epack,33.03B,-0.553,93.42B,1401581,-19.88,-1.17,-,-%,
Megapolitan Dev,479.05B,-7.61,155.54B,90111,-18.80,0.042,-,-%,
Megapower Makmur,62.09B,-10.08,36.00B,5662203,-7.54,0.266,-,-%,
Menn Teknologi Indonesia Tbk PT,126.48B,150.00,6.68B,15630948,1.28,-,-,-%,
Menteng Heritage Realty,297.94B,-,95.81B,11812,-3.10,-,-,-%,
Merck,2.11T,14.25,1.02T,15184,329.91,0.715,320,6.74%,
Merdeka Battery Materials PT,81T,-147.89,677.72M,84285389,-0.00,-,-,-%,
Merdeka Copper Gold TBK PT,62.52T,-41.42,1.05B,30586854,-0.004,0.927,-,-%,
Meta Epsi,104.24B,-2.46,918.02M,6743,-20.36,0.959,-,-%,
Metro Health,15.96T,-202.88,216.49B,259526600,-2.46,-0.066,-,-%,
Metro Realty,71.25B,-17.30,23.84B,381876,-17.69,0.204,-,-%,
Metrodata Electronics,6.20T,10.66,20.60T,6895656,47.36,0.54,14.5,2.87%,
Metropolitan Kentjana,28.83T,36.32,2.17T,282192,837.03,-0.001,445,1.45%,
Metropolitan Land,2.94T,7.01,1.51T,220025,54.81,0.218,10.3,2.68%,
Midi Utama Indonesia,14.56T,31.33,16.61T,49068829,16.12,0.065,-,-%,
Millennium Pharma,202.57B,6.01,3.22T,5085459,26.44,0.625,2,1.27%,
Minahasa Membangun Hebat Tbk PT,46.83B,-,-,16948062,-,-,-,-%,
Minna Padi Investama,113.07B,-2.43,-10.83B,8385192,-4.11,-0.128,-,-%,
Mitra Adiperkasa,33.24T,16.20,30.28T,20427521,124.07,0.997,8,0.4%,
Mitra Angkasa Sejahtera PT Tbk,240B,32.26,45.30B,51090,1.52,-,0.27,0.54%,
Mitra Energi Persada,248.23B,51.30,194.74B,59563,6.94,0.304,-,-%,
Mitra Int,31.69B,-1.12,82.40B,1795341,-7.17,-0.269,-,-%,
Mitra Investindo,1.15T,31.68,230.27B,33272463,10.29,0.256,1.5,0.46%,
Mitra Keluarga Karyasehat,37.97T,41.26,4.02T,10436519,66.16,0.162,37,1.35%,
Mitra Komunikasi Nusantara Tbk PT,11.00B,-0.46,1.88T,18660329,-4.39,-0.014,-,-%,
Mitra Pack,621.16B,33.43,135.91B,36874290,2.13,-,-,-%,
Mitra Pemuda,187.88B,-2.47,-,569021,-98.98,-,-,-%,
Mitra Pinasthika,4.50T,7.24,14.73T,11296352,142.22,0.654,135,13.24%,
Mitra Tirta Buwana PT Tbk,21.65B,-21.50,4.38B,1982371,-0.93,-,0.1,0.5%,
Mitrabahtera Segara,2.17T,4.39,80.34M,141760,0.018,0.629,-,-%,
Mitrabara Adiperdana,6.41T,4.56,332.18M,186843,0.073,0.274,1.993,37.78%,
Mnc Investama,4.18T,6.20,17.37T,61128556,8.07,0.818,-,-%,
Mnc Kapital Ind,2.17T,17.83,1.88T,49831679,3.18,0.108,-,-%,
Mnc Land,5.94T,13.70,1.39T,49954337,4.89,0.276,-,-%,
Mnc Sky Vision,1.51T,-5.16,973.53B,6465306,-29.26,0.681,-,-%,
MNC Studios,36.41T,117.32,3.32T,1990179,25.57,0.221,-,-%,
MNC Vision Networks,2.28T,-9.46,2.49T,56979039,-5.29,0.027,-,-%,
Modern Internasional,45.79B,0.60,54.87B,2522131,9.98,-0.252,-,-%,
Modernland Realty Ltd,977.58B,1.48,2.05T,21237340,52.78,0.661,-,-%,
Mora Telematika Indonesia Tbk PT,11.02T,24.62,4.83T,3457814,19.01,-0.004,-,-%,
Morenzo Abadi,108.13B,79.37,363.05B,856386,0.636,0.042,-,-%,
MPX Logistics International Tbk PT,370B,74.43,129.10B,66183788,2.63,-,-,-%,
Mulia Boga Raya,1.79T,24.74,941.33B,36283,48.69,0.189,75,6.28%,
Mulia Industrindo,2.78T,4.40,4.85T,5959302,95.39,-0.023,26,6.28%,
Multi Agro Gemilang Plantation,450.00B,-7.08,32.27B,700,-7.06,0.00,-,-%,
Multi Artha Guna,1.68T,11.56,870.04B,431084,29.06,-0.062,20,5.99%,
Multi Bintang Ind,18.01T,18.23,3.29T,78786,469.03,0.299,331,3.87%,
Multi Garam Utama Tbk PT,272.42B,162.87,-,48978337,-,-,-,-%,
Multi Indocitra,304.83B,7.27,1.05T,85168,70.86,0.177,5,0.95%,
Multi Makmur Lemindo Tbk,-,125.00,-,2104790,-,-,-,-%,
Multi Medika Internasional PT Tbk,468B,13.09,176.30B,11629319,16.19,-,-,-%,
Multi Prima Sejahtera,159.80B,5.83,161.64B,113516,64.47,-0.185,15,3.99%,
Multifiling Mitra,530.31B,27.26,160.80B,5798,25.68,0.358,45,6.43%,
Multipolar,1.32T,7.22,10.78T,27231195,11.78,1.36,-,-%,
Multipolar Technology,3.26T,9.60,3.34T,12413,181.22,0.313,381,21.96%,
Multistrada Arah Sarana,24.79T,28.68,427.48M,15968,0.006,-0.585,31,1.13%,
Multitrend Indo Tbk PT,715.18B,3.57,905.42B,50201129,74.57,-,-,-%,
Murni Sadar Tbk PT,3.04T,196.85,852.37B,11892078,9.10,0.677,-,-%,
Mustika Ratu,177.19B,2.28,286.08B,96054,181.72,0.426,-,-%,
Mutuagung Lestari Tbk PT,462B,10.60,295.73B,183622108,18.12,-,-,-%,
Nanotech Indonesia Global Tbk PT,89.99B,257.14,41.77B,5062787,0.058,0.182,-,-%,
Natura City,470.25B,-24.79,45.31B,1412377,-3.51,-0.22,-,-%,
Net Visi Media Tbk PT,2.04T,-15.15,360.11B,4777992,-10.23,0.705,-,-%,
NFC Indonesia,4.74T,-976.78,10.17T,127252,-7.32,-0.415,-,-%,
Nippon,7.70T,18.70,3.97T,1115016,72.20,0.183,106.55,7.89%,
Nipress,461.16B,30.45,-,685805,9.13,0.145,-,-%,
Northcliff Citranusa Indonesia Tbk PT,29.84B,-,-,0,-1.46,0.249,-,-%,
Nusa Konstruksi,497.23B,20.43,364.41B,24789748,4.70,-0.028,-,-%,
Nusa Palapa Gemilang PT Tbk,174.97B,-13.53,62.70B,1795114,-4.14,-0.311,-,-%,
Nusa Raya Cipta,860.48B,10.23,2.55T,931451,34.80,0.441,42,11.86%,
Nusantara Almazia,243.93B,-58.32,63.37B,1899841,-1.83,0.768,-,-%,
Nusantara Infra,4.23T,-57.55,1.86T,159244900,-4.24,0.717,-,-%,
Nusantara Inti Corpora,23.83B,69.76,-,34698,4.53,0.229,-,-%,
Nusantara Pelabuhan,2.27T,60.94,1.30T,18213,13.21,0.293,-,-%,
Nusantara Sejahtera Raya Tbk PT,24.34T,46.82,4.40T,113543129,-,-,-,-%,
Nusantara Voucher,518.00B,-0.86,4.42T,3216019,-430.72,0.688,-,-%,
Nusatama Berkah Tbk PT,162.02B,85.14,142.92B,43764009,1.41,0.459,0.1259,0.21%,
Obm Drilchem PT,217.62B,10.80,130.76B,2677192,27.05,-0.253,-,-%,
Omni Inovasi Indonesia Tbk PT,365.55B,-1.59,3.18T,2700,-31.52,0.845,-,-%,
Onix Capital,43.44B,-2.75,-1.89B,200,-57.88,0.228,-,-%,
Optima Prima,40.08B,-11.85,8.39B,837946,-4.22,0.198,-,-%,
Organon Pharma,104.4B,0.51,2.280.73B,0,57.028.24,-,95.000,-%,
Oscar Mitra Sukses Sejahtera Tbk PT,24.7B,-25.12,43.02B,4438243,-0.557,-0.388,-,-%,
Pabrik Kertas Tjiwi,29.11T,5.14,1.10B,5224435,0.116,1.71,25,0.27%,
Pacific Strategic,12.71T,76.06,1.95T,9430498,14.20,0.029,-,-%,
Pakuan,744.15B,2.74,370.66B,147195,230.53,2.43,-,-%,
Pakuwon Jati,20.71T,10.99,6.13T,32300305,39.12,0.973,6.5,1.56%,
Palma Serasih,2.64T,18.60,1.77T,97989,6.78,0.48,-,-%,
PAM Mineral Tbk PT,1.61T,10.81,1.06T,16320503,16.19,1.01,3,1.89%,
Pan Brothers,1.07T,4.50,657.53M,2661373,0.00,0.386,-,-%,
Panasia Indo Resources,432.18B,-10.91,135.69M,15057,-11.00,0.026,-,-%,
Panca Anugrah Wisesa Tbk PT,161.92B,12.03,171.73B,998405,9.13,0.661,-,-%,
Panca Budi Idaman,2.65T,8.69,4.87T,133932,162.78,-,100,7.07%,
Panca Global,714.02B,-7.69,-81.85B,1030208,-32.78,1.47,-,-%,
Panca Mitra,621.19B,9.98,190.27M,4463829,0.002,0.142,-,-%,
Panin Financial,9.03T,4.76,2.66T,59855007,59.23,-0.045,10,3.07%,
Panin Sekuritas,1.22T,5.90,463.77B,289390,289.91,0.526,250,14.58%,
Paninvest,4.17T,3.31,2.57T,1990497,310.08,0.403,-,-%,
Panorama Sentrawisata,936.00B,13.20,2.48T,3708770,59.11,0.734,-,-%,
Pantai Indah Kapuk Dua Tbk PT,64.4T,159.09,2.07T,15445924,29.92,0.681,-,-%,
Paperocks Indonesia Tbk PT,92.45B,-,-,32023291,-,-,-,-%,
Paramita Bangun Sarana,1.01T,10.75,548.44B,396419,31.25,0.097,40,11.83%,
Pelangi Indah Canindo,87.53B,11.96,539.81B,4814617,12.88,-0.984,-,-%,
Pelat Timah Nusantara,918.50B,23.20,206.33M,250908,0.001,1.18,"100,159",1.59%,
Pelayaran Nasional,627.48B,17.38,9.76M,3764400,0.00,0.318,-,-%,
Pelayaran Nasional Ekalya,1.87T,15.20,777.49B,9234340,14.21,-,4.18,1.66%,
Pelayaran Nelly,1.28T,6.35,459.45B,4254578,85.87,0.111,25,4.76%,
Pelita Samudera,3.05T,3.73,116.37M,1936829,0.01,-,50,8.55%,
Pelita Teknologi Global PT Tbk,1.63T,48.26,324.96B,781354,30.28,-,2.31,0.11%,
Pembangunan Graha,82.47B,-5.64,21.00B,136233,-29.97,0.07,12,7.1%,
Pembangunan Jaya Ancol,1.54T,6.88,1.12T,522587,140.34,0.597,29,3.45%,
Pembangunan Perumahan,4.82T,12.63,17.95T,20027965,44.90,1.96,-,-%,
Penta Valent PT,261.31B,9.13,2.29T,2204432,18.85,-,-,-%,
Perdana Bangun Pusaka,427.44B,29.47,212.29B,27622,46.49,-0.127,-,-%,
